Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Price
Fitzroy,9/56 Leicester St,2,t,S,Jellis,27/06/2016 0:00,1.6,3065,2,1,1,0,90,2002,Yarra,-37.7953,144.9775,710000
Fitzroy,7/56 Leicester St,2,t,S,Nelson,13/08/2016 0:00,1.6,3065,2,2,2,0,105,2000,Yarra,-37.7953,144.9775,880000
Collingwood,84 Budd St,3,h,S,hockingstuart,16/04/2016 0:00,1.6,3066,3,1,0,183,104,1880,Yarra,-37.7948,144.9875,1075000
Clifton Hill,18 Barries Pl,3,t,SP,Jellis,24/09/2016 0:00,3.4,3068,3,3,1,67,119,2010,Yarra,-37.7946,144.9989,825000
Parkville,110 Gatehouse St,4,h,S,Jellis,24/09/2016 0:00,2.6,3052,4,1,0,194,186,1890,Melbourne,-37.7944,144.9542,1928000
Fitzroy,4/113 Cecil St,2,u,S,Jellis,06/08/2016 0:00,1.6,3065,2,1,2,0,71,1965,Yarra,-37.7941,144.9802,810000
Fitzroy,107 Cecil St,2,h,S,Nelson,24/09/2016 0:00,1.6,3065,2,1,1,157,110,1900,Yarra,-37.7941,144.98,1300000
Parkville,92 Fitzgibbon St,2,h,S,Collins,08/10/2016 0:00,2.6,3052,2,1,1,187,102,1890,Melbourne,-37.7939,144.9572,1805000
Clifton Hill,7/37 Groom St,2,u,S,Collins,18/06/2016 0:00,3.4,3068,2,2,2,0,136,2005,Yarra,-37.7937,144.9983,885500
Parkville,187 Park Dr,3,h,S,Collins,27/06/2016 0:00,2.6,3052,4,2,1,154,196,1890,Melbourne,-37.7934,144.9562,2236000
Clifton Hill,3/68 Noone St,3,t,S,Collins,07/11/2016 0:00,3.4,3068,3,2,1,124,116,2000,Yarra,-37.7934,144.9923,930000
Clifton Hill,66 Noone St,2,h,S,Harrington,04/06/2016 0:00,3.4,3068,2,1,1,155,85,1880,Yarra,-37.7934,144.9922,780000
Parkville,199 Park Dr,2,h,S,Nelson,19/11/2016 0:00,2.6,3052,2,1,0,70,102,1890,Melbourne,-37.7931,144.9565,1265000
Carlton,83 Princes St,2,h,PI,hockingstuart,07/05/2016 0:00,1.8,3053,2,1,1,117,71,1890,Melbourne,-37.793,144.9728,720000
Carlton,403/20 Reeves St,2,u,S,Harrington,14/05/2016 0:00,1.8,3053,2,2,1,0,65,2010,Melbourne,-37.7929,144.9705,500000
Clifton Hill,119 Roseneath St,2,h,S,Nelson,08/10/2016 0:00,3.4,3068,2,1,1,174,85,1890,Yarra,-37.7928,144.9987,1075000
Parkville,152 Park Dr,2,h,S,Collins,15/10/2016 0:00,2.6,3052,2,2,1,190,172,1875,Melbourne,-37.7928,144.9575,2200000
Clifton Hill,85 Roseneath St,2,h,S,Harrington,08/10/2016 0:00,3.4,3068,2,1,1,185,84,1910,Yarra,-37.7927,144.9981,1105000
Fitzroy North,470 Brunswick St,2,h,S,Woodards,03/09/2016 0:00,3.5,3068,2,1,0,104,70,1880,Yarra,-37.7927,144.9796,860000
Kew,5/13 Hope Ct,2,u,S,Jellis,23/04/2016 0:00,5.6,3101,2,1,2,0,86,1992,Boroondara,-37.7925,145.0263,551000
Fitzroy North,7/14 Rae St,1,u,SP,Jellis,04/03/2017 0:00,3.5,3068,1,1,1,0,40,1975,Yarra,-37.7925,144.9786,358500
Fitzroy North,3 Curtain Pl,3,t,S,Jellis,19/11/2016 0:00,3.5,3068,3,2,1,77,133,2016,Yarra,-37.7923,144.9776,1080000
Clifton Hill,11 Page St,3,h,S,Collins,13/08/2016 0:00,3.4,3068,3,2,1,176,135,1890,Yarra,-37.7921,144.9898,1370000
Clifton Hill,3 Hodgkinson St,3,h,S,Nelson,27/06/2016 0:00,3.4,3068,3,1,0,118,118,1880,Yarra,-37.7921,144.9858,1360000
Clifton Hill,413a Wellington St,2,h,S,Jellis,08/10/2016 0:00,3.4,3068,2,1,1,140,97,1910,Yarra,-37.7919,144.9884,1209000
Fitzroy North,23/86 Queens Pde,2,u,SP,Nelson,18/03/2017 0:00,3.5,3068,2,1,2,0,92,2010,Yarra,-37.7918,144.9824,675000
Clifton Hill,17 Myrtle St,2,h,S,Nelson,10/09/2016 0:00,3.4,3068,2,1,2,239,96,1900,Yarra,-37.7918,144.997,1435000
Fitzroy North,51 Rae St,2,h,SA,Nicholson,04/06/2016 0:00,3.5,3068,2,2,1,134,151,1905,Yarra,-37.7916,144.9784,770000
Fitzroy North,5/35 Jamieson St,3,t,S,Collins,08/10/2016 0:00,3.5,3068,3,2,1,112,145,2000,Yarra,-37.7912,144.9825,1015000
Clifton Hill,40 Myrtle St,2,h,S,Jellis,10/12/2016 0:00,3.4,3068,2,1,0,164,99,1890,Yarra,-37.7912,144.9967,1290000
Carlton North,24/635 Drummond St,2,u,S,hockingstuart,27/06/2016 0:00,3.2,3054,2,1,1,0,76,1975,Yarra,-37.7902,144.97,570000
Clifton Hill,13 Caroline St,3,h,S,Nelson,07/11/2016 0:00,3.4,3068,3,1,0,193,98,1900,Yarra,-37.7899,144.9984,1060000
Fitzroy North,50 Freeman St,2,h,S,Nelson,03/09/2016 0:00,3.5,3068,2,1,0,107,64,1910,Yarra,-37.7898,144.9794,870000
Clifton Hill,32 Caroline St,4,h,S,Collins,10/09/2016 0:00,3.4,3068,4,3,2,382,250,1903,Yarra,-37.7897,144.9992,3010000
Carlton North,112 Newry St,4,h,S,Nelson,04/03/2017 0:00,3.2,3054,4,3,0,122,130,1890,Yarra,-37.7893,144.9696,1425000
Clifton Hill,31 Fenwick St,2,h,VB,Nelson,18/03/2017 0:00,3.4,3068,2,1,0,156,107,1890,Yarra,-37.7892,144.9999,1450000
Clifton Hill,1/1 Marshall Pl,4,h,S,Nelson,25/02/2017 0:00,3.4,3068,4,2,0,162,169,1995,Yarra,-37.7885,144.9994,1506000
Fitzroy North,181 Rae St,2,h,S,Jellis,23/04/2016 0:00,3.5,3068,2,1,0,100,72,1890,Yarra,-37.788,144.9791,937500
Carlton North,75 Fenwick St,3,h,S,Nelson,18/03/2017 0:00,3.2,3054,3,2,0,84,148,1970,Yarra,-37.7879,144.9736,2050000
Carlton North,392 Station St,2,h,S,Kelly,12/11/2016 0:00,3.2,3054,1,2,0,413,172,1900,Yarra,-37.7875,144.9759,2400000
Clifton Hill,3/30 Edmund St,2,u,S,iTRAK,13/08/2016 0:00,3.4,3068,2,1,1,515,50,1970,Yarra,-37.7875,145.0049,495000
Fitzroy North,79 Delbridge St,4,h,S,Nelson,14/05/2016 0:00,3.5,3068,3,2,1,445,175,1890,Yarra,-37.786,144.9864,3400000
Fitzroy North,44 Reid St,4,t,VB,Jellis,18/03/2017 0:00,3.5,3068,4,3,2,127,209,2008,Yarra,-37.7855,144.9789,1700000
Carlton North,1 Fletcher La,2,h,PI,Nelson,10/12/2016 0:00,3.2,3054,2,1,1,73,104,2009,Yarra,-37.7852,144.9719,800000
Fitzroy North,717 Brunswick St,3,h,S,Collins,27/11/2016 0:00,3.5,3068,3,2,0,127,135,1890,Yarra,-37.7851,144.9809,1300000
Fitzroy North,233/4 Bik La,2,u,SP,Woodards,03/09/2016 0:00,3.5,3068,2,2,1,4332,85,2010,Yarra,-37.7846,144.9785,700000
Fairfield,15/262 Heidelberg Rd,2,u,SP,Nelson,27/06/2016 0:00,5.8,3078,2,1,1,0,68,2014,Yarra,-37.7845,145.0105,548000
Fairfield,20/262 Heidelberg Rd,2,u,S,Jellis,07/11/2016 0:00,5.8,3078,2,1,1,0,77,2013,Yarra,-37.7845,145.0105,602000
Alphington,11 Margaret Gr,4,h,SP,McGrath,27/11/2016 0:00,6.4,3078,4,2,2,556,272,1930,Yarra,-37.7844,145.0225,1900000
Northcote,12/20 Ross St,1,u,S,Nelson,10/09/2016 0:00,5.5,3070,1,1,2,0,55,1970,Darebin,-37.7842,144.9991,435000
Fitzroy North,55 Seacombe St,3,h,S,Nelson,28/08/2016 0:00,3.5,3068,3,2,1,118,103,1905,Yarra,-37.7839,144.9807,1450000
Fitzroy North,168 Scotchmer St,3,h,S,Jellis,28/05/2016 0:00,3.5,3068,3,1,0,193,132,1910,Yarra,-37.7836,144.985,1581000
Fitzroy North,205 Scotchmer St,3,h,S,Nelson,27/11/2016 0:00,3.5,3068,3,2,0,202,307,1898,Yarra,-37.7835,144.9867,2150000
Fitzroy North,780 Brunswick St,3,h,S,Nelson,10/09/2016 0:00,3.5,3068,2,1,1,197,128,1900,Yarra,-37.7835,144.9816,1371000
Fitzroy North,191 Scotchmer St,3,h,VB,Nelson,26/07/2016 0:00,3.5,3068,3,1,1,203,110,1890,Yarra,-37.7834,144.9862,1300000
Fitzroy North,92 Scotchmer St,2,h,S,LITTLE,06/08/2016 0:00,3.5,3068,2,1,1,150,77,1890,Yarra,-37.7833,144.9819,1008000
Princes Hill,77 McIlwraith St,4,h,S,Nelson,28/05/2016 0:00,3.7,3054,4,2,1,256,156,1890,Yarra,-37.7833,144.9681,1908000
Northcote,13/200 Westgarth St,1,u,VB,Nelson,27/11/2016 0:00,5.5,3070,1,1,1,0,43,2014,Darebin,-37.7831,145.0124,400000
Fitzroy North,26 Scotchmer St,3,t,VB,Jellis,10/12/2016 0:00,3.5,3068,3,3,1,188,129,2000,Yarra,-37.7829,144.9788,1600000
Fitzroy North,2 Scotchmer St,2,h,S,Nelson,15/10/2016 0:00,3.5,3068,2,1,1,223,118,1885,Yarra,-37.7829,144.9782,1210000
Parkville,12/196 The Avenue,1,u,SP,Nelson,25/02/2017 0:00,2.6,3052,1,1,1,2488,50,1995,Melbourne,-37.7829,144.9574,526000
Northcote,3/162 Westgarth St,2,u,S,Love,10/09/2016 0:00,5.5,3070,2,1,2,0,65,2000,Darebin,-37.7828,145.0096,605000
Fairfield,7 Rathmines St,3,h,PI,McGrath,03/12/2016 0:00,5.8,3078,3,1,2,309,110,2000,Darebin,-37.7828,145.0154,1350000
Northcote,2/62 Cunningham St,1,u,SP,McGrath,10/12/2016 0:00,5.5,3070,1,1,0,0,41,1970,Darebin,-37.7827,144.9999,385000
Northcote,16/62 Cunningham St,1,u,S,Chambers,19/11/2016 0:00,5.5,3070,1,1,1,0,40,1970,Darebin,-37.7827,144.9999,422000
Northcote,1/221 Westgarth St,3,t,S,Love,12/11/2016 0:00,5.5,3070,3,1,2,184,108,2006,Darebin,-37.7825,145.0104,865000
Northcote,7 McLachlan St,3,h,SP,McGrath,18/03/2017 0:00,5.5,3070,3,1,2,899,143,1960,Darebin,-37.7822,144.9935,2315000
Fitzroy North,35 Birkenhead St,2,h,S,Chambers,18/03/2017 0:00,3.5,3068,2,1,0,136,92,1890,Yarra,-37.7819,144.9824,1290000
Parkville,28/238 The Avenue,3,u,S,Nelson,27/11/2016 0:00,2.6,3052,3,2,2,2401,132,1980,Melbourne,-37.7818,144.9576,1403000
Carlton North,967 Drummond St,4,h,S,Ray,11/03/2017 0:00,3.2,3054,4,2,0,538,142,2015,Yarra,-37.7816,144.9714,2718000
Fitzroy North,70 Park St,4,h,S,Nelson,14/05/2016 0:00,3.5,3068,4,2,1,188,165,1900,Yarra,-37.7815,144.9869,1785000
Carlton North,4 Mary St,2,u,VB,Nelson,24/09/2016 0:00,3.2,3054,2,1,1,0,86,1940,Yarra,-37.7813,144.9773,520000
Fitzroy North,111 Best St,3,h,SP,Nelson,16/04/2016 0:00,3.5,3068,3,2,1,104,110,1890,Yarra,-37.7813,144.9834,1275000
Northcote,12 Simpson St,6,h,SP,Nelson,04/06/2016 0:00,5.5,3070,6,2,2,772,257,1992,Darebin,-37.7813,145.0065,2000000
Carlton North,989 Drummond St,3,h,SP,Chambers,07/05/2016 0:00,3.2,3054,3,1,2,499,164,1910,Yarra,-37.7811,144.9715,2950000
Carlton North,700 Rathdowne St,4,h,S,Woodards,07/05/2016 0:00,3.2,3054,3,1,0,418,163,1920,Yarra,-37.7808,144.9736,2175000
Northcote,29 Westgarth St,4,h,PI,hockingstuart,07/05/2016 0:00,5.5,3070,4,2,1,415,218,1900,Darebin,-37.7807,144.9948,1700000
Alphington,1/14 Fulham Rd,2,u,S,Love,25/02/2017 0:00,6.4,3078,2,1,1,0,61,1965,Darebin,-37.7805,145.0262,512000
Carlton North,1018 Drummond St,4,h,S,Nelson,16/04/2016 0:00,3.2,3054,4,2,2,504,168,1890,Yarra,-37.7805,144.9721,2520000
Northcote,24 Jessie St,4,h,VB,Jellis,03/09/2016 0:00,5.5,3070,4,2,1,464,179,1910,Darebin,-37.7805,145.004,1600000
Carlton North,292 Amess St,4,h,S,Nelson,22/05/2016 0:00,3.2,3054,4,2,2,207,162,1900,Yarra,-37.7804,144.9748,1950000
Northcote,25 Simpson St,4,h,S,McGrath,28/08/2016 0:00,5.5,3070,4,2,3,824,231,1920,Darebin,-37.7803,145.0063,2340000
Alphington,2c Hamilton St,3,h,SP,hockingstuart,22/05/2016 0:00,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,865000
Northcote,3 Atkinson St,3,h,S,Harrington,28/08/2016 0:00,5.5,3070,2,1,1,348,130,1910,Darebin,-37.7799,145.011,1080000
Northcote,24 Barry St,3,h,S,Harrington,19/11/2016 0:00,5.5,3070,3,1,1,407,143,1900,Darebin,-37.7799,144.9937,1715000
Northcote,39 Barry St,3,h,PI,Collins,04/06/2016 0:00,5.5,3070,3,1,1,247,160,1890,Darebin,-37.7798,144.9952,1710000
Carlton North,14/1102 Lygon St,1,u,S,Nelson,24/09/2016 0:00,3.2,3054,1,1,1,0,56,1970,Yarra,-37.7798,144.9707,437000
Fitzroy North,2 Pilkington St,4,h,VB,Nelson,03/09/2016 0:00,3.5,3068,4,2,1,266,175,1950,Yarra,-37.7797,144.9861,1450000
Fitzroy North,12/262 Barkly St,2,u,S,Nelson,28/08/2016 0:00,3.5,3068,2,1,1,0,48,1980,Yarra,-37.7794,144.989,602000
Northcote,11/94 Union St,2,u,SP,Nelson,06/08/2016 0:00,5.5,3070,2,2,1,0,69,2011,Darebin,-37.7793,144.9972,583000
Brunswick East,3/10 Rathdowne St,3,t,S,Woodards,30/07/2016 0:00,4.5,3057,2,1,1,0,114,2003,Moreland,-37.7789,144.9739,805000
Northcote,77 Union St,2,h,SP,Nelson,28/08/2016 0:00,5.5,3070,2,1,2,376,109,1920,Darebin,-37.7789,144.9952,1634000
Brunswick,2 Chambers St,3,h,S,Nelson,17/09/2016 0:00,5.2,3056,3,2,3,470,152,1920,Moreland,-37.7788,144.9688,1691500
Brunswick East,4/37 Brunswick Rd,2,u,S,Collins,10/12/2016 0:00,4.5,3057,2,1,1,0,79,1960,Moreland,-37.7786,144.9753,656000
Brunswick East,3/37 Brunswick Rd,2,u,S,Collins,16/07/2016 0:00,4.5,3057,2,1,1,0,96,1940,Moreland,-37.7786,144.9753,665000
Fitzroy North,74 Barkly St,4,h,S,Nelson,14/05/2016 0:00,3.5,3068,4,2,2,233,216,1890,Yarra,-37.7786,144.9818,1950000
Northcote,78 Bridge St,4,h,S,Nelson,30/07/2016 0:00,5.5,3070,4,1,1,382,168,1970,Darebin,-37.7784,144.9959,1650000
Northcote,118 Roberts St,2,h,S,Jellis,14/05/2016 0:00,5.5,3070,2,1,0,229,99,1910,Darebin,-37.7784,145.0042,1101000
Northcote,1/68 Bridge St,1,u,S,Harcourts,14/05/2016 0:00,5.5,3070,1,1,1,0,39,1960,Darebin,-37.7783,144.9954,312000
Fairfield,7/59 Rathmines St,2,u,S,Nelson,10/12/2016 0:00,5.8,3078,2,1,1,0,56,1970,Darebin,-37.7782,145.0162,445000
Fairfield,1/72 Rathmines St,2,u,S,hockingstuart,18/03/2017 0:00,5.8,3078,2,1,1,1658,68,1970,Darebin,-37.7781,145.0157,510000
Fitzroy North,201A Clauscen St,3,h,S,Holland,10/12/2016 0:00,3.5,3068,3,1,0,275,116,1915,Yarra,-37.7779,144.9862,1286000
Brunswick,8/705 Park St,2,u,S,Brad,18/03/2017 0:00,5.2,3056,2,1,1,0,57,1970,Moreland,-37.7778,144.9594,601000
Brunswick,154 Brunswick Rd,3,h,SP,Nelson,17/09/2016 0:00,5.2,3056,3,1,1,239,126,1910,Moreland,-37.7776,144.963,1050000
Brunswick,2/123 Brunswick Rd,3,t,PI,Walshe,27/06/2016 0:00,5.2,3056,3,2,1,110,118,2000,Moreland,-37.7776,144.9691,640000
Brunswick East,41 Barkly St,3,h,S,Nelson,19/11/2016 0:00,4.5,3057,3,2,0,326,118,1920,Moreland,-37.7776,144.9751,1679000
Brunswick East,94 Barkly St,4,h,S,Nelson,06/08/2016 0:00,4.5,3057,4,1,1,233,204,1890,Moreland,-37.7776,144.9727,1815000
Brunswick,11/6 Sydney Rd,1,u,S,Nelson,28/05/2016 0:00,5.2,3056,1,1,1,0,54,1965,Moreland,-37.7775,144.9607,370000
Brunswick,2/6 Sydney Rd,2,u,S,Nelson,24/09/2016 0:00,5.2,3056,2,1,1,0,66,1950,Moreland,-37.7775,144.9607,575000
Fitzroy North,5/118 Miller St,2,h,PI,Nelson,28/08/2016 0:00,3.5,3068,2,1,1,0,75,1980,Yarra,-37.777,144.9838,650000
Northcote,52 Charles St,2,h,S,Jellis,24/09/2016 0:00,5.5,3070,2,1,1,178,100,1900,Darebin,-37.777,144.9922,1211000
Brunswick,6/153 Barkly St,2,u,S,Nelson,07/11/2016 0:00,5.2,3056,2,1,1,0,75,2011,Moreland,-37.777,144.9703,600000
Brunswick,177 Barkly St,4,h,VB,Nelson,15/10/2016 0:00,5.2,3056,4,2,3,271,180,1900,Moreland,-37.7769,144.9691,1800000
Brunswick,222 Barkly St,5,h,S,Jellis,19/11/2016 0:00,5.2,3056,5,2,2,555,266,1890,Moreland,-37.7767,144.9645,2500000
Northcote,17/203 Clarke St,2,u,VB,Woodards,28/08/2016 0:00,5.5,3070,2,1,1,0,10,1970,Darebin,-37.7766,144.9988,570000
Brunswick,10/285 Brunswick Rd,1,u,S,Jellis,26/07/2016 0:00,5.2,3056,1,1,1,540,45,1970,Moreland,-37.7766,144.9574,370000
Brunswick East,178 Weston St,2,h,S,Greg,10/09/2016 0:00,4.5,3057,2,1,0,193,101,1890,Moreland,-37.7765,144.9751,1080000
Northcote,6 Brooke St,3,h,SP,Jellis,08/10/2016 0:00,5.5,3070,3,1,3,472,101,1924,Darebin,-37.7765,145.0027,1655000
Brunswick,5 Black St,3,h,S,Collins,18/06/2016 0:00,5.2,3056,3,2,1,0,195,1945,Moreland,-37.7763,144.9597,1700000
Northcote,10 Campbell Gr,3,t,S,Nelson,16/07/2016 0:00,5.5,3070,3,2,2,608,138,2012,Darebin,-37.7763,144.9967,900000
Northcote,3 Brooke St,4,h,S,hockingstuart,28/05/2016 0:00,5.5,3070,4,2,1,489,140,1910,Darebin,-37.7762,145.0027,1950000
Brunswick East,215 Weston St,3,h,S,Nelson,04/03/2017 0:00,4.5,3057,3,1,1,259,130,1920,Moreland,-37.7762,144.9755,1495000
Fitzroy North,8/3 Miller St,2,t,S,Woodards,18/03/2017 0:00,3.5,3068,2,2,2,0,95,2002,Yarra,-37.7761,144.9792,750000
Northcote,30 Clarke St,3,h,S,Nelson,03/09/2016 0:00,5.5,3070,3,1,1,215,125,1920,Darebin,-37.7759,144.9909,1200000
Brunswick,393A Brunswick Rd,3,h,S,Rendina,18/03/2017 0:00,5.2,3056,3,1,6,563,98,1960,Moreland,-37.7757,144.9505,1260000
Northcote,162 Bastings St,3,h,S,Jellis,27/11/2016 0:00,5.5,3070,3,2,1,338,90,1920,Darebin,-37.7757,145.0119,2160000
Northcote,6 Clarke St,3,h,SP,Nelson,15/10/2016 0:00,5.5,3070,3,1,0,158,106,1910,Darebin,-37.7756,144.9891,1050000
Fairfield,2/115 Gillies St,2,u,PI,Nelson,07/11/2016 0:00,5.8,3078,2,1,1,0,70,1970,Darebin,-37.7755,145.0178,505000
Brunswick East,6212/172 Edward St,2,u,VB,LITTLE,17/09/2016 0:00,4.5,3057,2,2,1,0,71,2014,Moreland,-37.7753,144.9725,590000
Northcote,13 Andrew St,3,h,SP,hockingstuart,16/04/2016 0:00,5.5,3070,3,1,1,522,174,1910,Darebin,-37.7752,145.0032,1900000
Alphington,83 Fulham Rd,5,h,S,Nelson,12/06/2016 0:00,6.4,3078,5,4,4,809,165,1910,Darebin,-37.775,145.0268,2840000
Brunswick,411 Barkly St,2,h,S,Jellis,30/07/2016 0:00,5.2,3056,2,1,2,246,103,1910,Moreland,-37.775,144.9536,945000
Brunswick East,9 John St,4,h,S,Nelson,07/05/2016 0:00,4.5,3057,4,2,2,822,145,1890,Moreland,-37.7749,144.9762,1625000
Fairfield,88 Perry St,4,h,S,Jellis,15/10/2016 0:00,5.8,3078,4,2,2,490,226,2007,Darebin,-37.7749,145.0242,1730000
Brunswick,175 Edward St,3,h,S,Nelson,16/04/2016 0:00,5.2,3056,2,1,1,216,100,1910,Moreland,-37.7746,144.9697,1261000
Northcote,83 Bastings St,3,h,S,Nelson,17/09/2016 0:00,5.5,3070,3,1,1,328,135,1920,Darebin,-37.7745,145.0045,1300000
Brunswick,25 Gray St,4,h,S,Jellis,28/08/2016 0:00,5.2,3056,4,2,1,354,199,1910,Moreland,-37.7745,144.9523,1755000
Brunswick,3/30 Heller St,2,t,S,Jellis,25/02/2017 0:00,5.2,3056,2,2,1,156,87,2007,Moreland,-37.7744,144.9498,801000
Brunswick,141 Gold St,2,h,S,Nelson,07/05/2016 0:00,5.2,3056,2,1,1,179,90,1890,Moreland,-37.7742,144.9542,845500
Brunswick,26 Warburton St,3,h,S,Nelson,27/11/2016 0:00,5.2,3056,3,1,1,316,132,1910,Moreland,-37.7741,144.9703,1340000
Northcote,155 Westbourne Gr,3,h,PI,Jellis,30/07/2016 0:00,5.5,3070,3,1,3,327,165,1900,Darebin,-37.7741,144.9971,1510000
Northcote,14 Northcote St,2,h,S,Barry,27/06/2016 0:00,5.5,3070,2,1,2,301,100,1925,Darebin,-37.774,145.0081,1050000
Brunswick East,1/10 Linden St,3,t,S,Nelson,23/04/2016 0:00,4.5,3057,3,2,1,0,133,2014,Moreland,-37.774,144.9731,1010000
Brunswick East,2/33 Linden St,3,t,PI,Jellis,19/11/2016 0:00,4.5,3057,3,3,2,87,151,1998,Moreland,-37.7739,144.975,1050000
Brunswick,19 Horne St,3,h,S,Nelson,28/05/2016 0:00,5.2,3056,3,1,1,346,126,1900,Moreland,-37.7738,144.9695,1550000
Brunswick,4 Bell St,4,h,S,Ray,27/06/2016 0:00,5.2,3056,3,1,1,416,129,1920,Moreland,-37.7737,144.965,1790000
Fitzroy North,273 Glenlyon Rd,2,h,S,Chambers,19/11/2016 0:00,3.5,3068,2,1,2,487,105,1940,Moreland,-37.7737,144.9822,1222500
Fairfield,147 Gillies St,3,h,S,McGrath,28/08/2016 0:00,5.8,3078,3,1,1,496,122,1910,Darebin,-37.7737,145.018,1375000
Brunswick East,55 King St,4,h,S,Woodards,04/06/2016 0:00,4.5,3057,4,2,2,470,191,1940,Moreland,-37.7735,144.9833,1550000
Fairfield,197 Station St,4,h,PI,Nelson,07/05/2016 0:00,5.8,3078,4,2,1,381,145,1890,Darebin,-37.7735,145.0192,1160000
Fairfield,1/203 Station St,2,u,VB,Jellis,27/11/2016 0:00,5.8,3078,2,1,2,0,75,1970,Darebin,-37.7732,145.0193,600000
Brunswick,215/1 Dods St,3,u,S,Jellis,16/07/2016 0:00,5.2,3056,3,1,1,0,85,2000,Moreland,-37.773,144.9624,1044000
Brunswick East,160 Glenlyon Rd,3,h,PI,Nelson,22/05/2016 0:00,4.5,3057,3,1,1,213,116,1920,Moreland,-37.7729,144.9724,825000
Brunswick East,156 Glenlyon Rd,3,h,S,Nelson,27/06/2016 0:00,4.5,3057,3,1,1,279,122,1900,Moreland,-37.7729,144.9722,1050000
Brunswick,30 Charles St,4,h,S,Nelson,15/10/2016 0:00,5.2,3056,4,1,1,370,151,1940,Moreland,-37.7728,144.9639,1350000
Fairfield,52 Rayment St,3,h,VB,Nelson,19/11/2016 0:00,5.8,3078,3,1,4,553,109,1930,Darebin,-37.7728,145.0214,1350000
Northcote,81 Mitchell St,5,h,S,hockingstuart,14/05/2016 0:00,5.5,3070,4,3,3,490,331,1920,Darebin,-37.7726,145.0048,2700000
Brunswick,36 Charles St,4,h,S,Jellis,27/06/2016 0:00,5.2,3056,4,2,2,657,207,1958,Moreland,-37.7725,144.964,1875000
Brunswick,3/38 Charles St,2,t,PI,Nelson,10/09/2016 0:00,5.2,3056,2,2,1,118,88,2013,Moreland,-37.7723,144.9643,750000
